max in k: 1733.390340, sumS: 25768762937.806976, total var 26053589104.478317
max in k: 1718.701851, sumS: 25771716873.859619, total var 26053589104.478317
max in k: 1713.368283, sumS: 25774652504.731659, total var 26053589104.478317
max in k: 1703.522971, sumS: 25777554495.243961, total var 26053589104.478317
max in k: 1701.704826, sumS: 25780450294.558331, total var 26053589104.478317
max in k: 1695.569960, sumS: 25783325252.046097, total var 26053589104.478317
max in k: 1687.907728, sumS: 25786174284.545563, total var 26053589104.478317
max in k: 1683.109424, sumS: 25789007141.879646, total var 26053589104.478317
max in k: 1662.657073, sumS: 25791771570.423084, total var 26053589104.478317
max in k: 1653.393152, sumS: 25794505279.338028, total var 26053589104.478317
max in k: 1647.844452, sumS: 25797220670.677010, total var 26053589104.478317
max in k: 1642.517131, sumS: 25799918533.203411, total var 26053589104.478317
max in k: 1638.065530, sumS: 25802601791.883011, total var 26053589104.478317
max in k: 1630.080328, sumS: 25805258953.758152, total var 26053589104.478317
max in k: 1625.803577, sumS: 25807902191.029102, total var 26053589104.478317
max in k: 1615.476341, sumS: 25810511954.836903, total var 26053589104.478317
max in k: 1609.549381, sumS: 25813102604.046337, total var 26053589104.478317
max in k: 1602.029970, sumS: 25815669104.072147, total var 26053589104.478317
max in k: 1596.571264, sumS: 25818218143.871708, total var 26053589104.478317
max in k: 1591.122051, sumS: 25820749813.252087, total var 26053589104.478317
max in k: 1584.903929, sumS: 25823261733.716019, total var 26053589104.478317
max in k: 1582.810412, sumS: 25825767022.516155, total var 26053589104.478317
max in k: 1574.131923, sumS: 25828244913.826622, total var 26053589104.478317
max in k: 1566.612912, sumS: 25830699189.841801, total var 26053589104.478317
max in k: 1556.295481, sumS: 25833121245.467216, total var 26053589104.478317
max in k: 1553.078146, sumS: 25835533297.195187, total var 26053589104.478317
max in k: 1547.462816, sumS: 25837927938.361511, total var 26053589104.478317
max in k: 1542.322559, sumS: 25840306697.238365, total var 26053589104.478317
max in k: 1532.078327, sumS: 25842653961.236900, total var 26053589104.478317
max in k: 1516.282806, sumS: 25844953074.784039, total var 26053589104.478317
max in k: 1511.544213, sumS: 25847237840.692142, total var 26053589104.478317
max in k: 1507.355599, sumS: 25849509961.592793, total var 26053589104.478317
max in k: 1504.731184, sumS: 25851774177.528179, total var 26053589104.478317
max in k: 1499.543519, sumS: 25854022808.293388, total var 26053589104.478317
max in k: 1497.814774, sumS: 25856266257.391373, total var 26053589104.478317
max in k: 1489.037528, sumS: 25858483490.150017, total var 26053589104.478317
max in k: 1482.714593, sumS: 25860681932.714428, total var 26053589104.478317
max in k: 1479.617449, sumS: 25862871200.510273, total var 26053589104.478317
max in k: 1469.640985, sumS: 25865031045.136452, total var 26053589104.478317
max in k: 1462.010302, sumS: 25867168519.259300, total var 26053589104.478317
max in k: 1456.723577, sumS: 25869290562.837807, total var 26053589104.478317
max in k: 1451.484292, sumS: 25871397369.487915, total var 26053589104.478317
max in k: 1445.308485, sumS: 25873486286.103500, total var 26053589104.478317
max in k: 1437.632503, sumS: 25875553073.316277, total var 26053589104.478317
max in k: 1428.627989, sumS: 25877594051.246937, total var 26053589104.478317
max in k: 1423.811928, sumS: 25879621291.654316, total var 26053589104.478317
max in k: 1411.194472, sumS: 25881612761.492908, total var 26053589104.478317
max in k: 1401.889960, sumS: 25883578056.951813, total var 26053589104.478317
max in k: 1396.602375, sumS: 25885528555.144646, total var 26053589104.478317
max in k: 1392.625309, sumS: 25887467960.395634, total var 26053589104.478317
max in k: 1387.850728, sumS: 25889394090.038784, total var 26053589104.478317
max in k: 1382.873619, sumS: 25891306429.484726, total var 26053589104.478317
max in k: 1372.702941, sumS: 25893190742.849972, total var 26053589104.478317
max in k: 1368.876993, sumS: 25895064567.072475, total var 26053589104.478317
